t,u1,u2
0,0.6937969326972961,0.5138571858406067
1,0.6733607649803162,0.5177115797996521
2,0.6506120562553406,0.5215683579444885
3,0.6258509755134583,0.5256553292274475
4,0.5962074398994446,0.5295777916908264
5,0.5655013918876648,0.5336267352104187
6,0.534159779548645,0.5376322865486145
7,0.5016831159591675,0.5419467091560364
8,0.4663923680782318,0.5472400188446045
9,0.4363693594932556,0.5526102781295776
10,0.405979186296463,0.5580106377601624
11,0.3733351528644562,0.5644713640213013
12,-0.012067395262420177,-0.15154747664928436
13,-0.011694259941577911,-0.15318581461906433
14,-0.011322800070047379,-0.15475082397460938
15,-0.01104749459773302,-0.15622079372406006
16,-0.010765151120722294,-0.15788355469703674
17,-0.010495947673916817,-0.15957194566726685
18,-0.010186413303017616,-0.1612297147512436
19,-0.009896141476929188,-0.16278131306171417
20,-0.009475628845393658,-0.1641734391450882
21,-0.009039759635925293,-0.1656530201435089
22,-0.008685589767992496,-0.16704025864601135
23,-0.007650501560419798,-0.1684645563364029
24,-0.006508117076009512,-0.16986098885536194
25,-0.0058053042739629745,-0.17064382135868073
26,-0.004974354058504105,-0.1714698225259781
27,-0.0026889489963650703,-0.17221443355083466
28,6.152689456939697e-05,-0.17358683049678802
29,0.0028734798543155193,-0.17505744099617004
30,0.005688553676009178,-0.17652860283851624
31,0.008609123528003693,-0.17809849977493286
32,0.011395430192351341,-0.17963972687721252
33,0.01423660572618246,-0.18103991448879242
34,0.01670048013329506,-0.18193891644477844
35,0.018779907375574112,-0.18294546008110046
36,0.020277759060263634,-0.18394510447978973
37,0.021363234147429466,-0.18546472489833832
38,0.022329216822981834,-0.18684177100658417
39,0.023325994610786438,-0.18826761841773987
40,0.024340394884347916,-0.18975991010665894
41,0.025333741679787636,-0.19183263182640076
42,0.025948822498321533,-0.19366726279258728
43,0.026937633752822876,-0.1949661672115326
44,0.028019335120916367,-0.19621597230434418
45,0.029066478833556175,-0.19742389023303986
46,0.030065041035413742,-0.19865624606609344
47,0.03110564313828945,-0.20004822313785553
48,0.032162752002477646,-0.20145539939403534
49,0.03325752913951874,-0.20287655293941498
50,0.03422136232256889,-0.2043704390525818
51,0.03405313193798065,-0.20685389637947083
52,0.0338011160492897,-0.2091030329465866
53,0.03271825611591339,-0.21044892072677612
54,0.03154802694916725,-0.21188341081142426
55,0.030381491407752037,-0.21342137455940247
56,0.029263602569699287,-0.21501238644123077
57,0.028262842446565628,-0.2168036252260208
58,0.027447175234556198,-0.2189483642578125
59,0.02670133113861084,-0.22113291919231415
60,0.025769546627998352,-0.22335225343704224
61,0.024806885048747063,-0.22561411559581757
62,0.02390006184577942,-0.22795212268829346
63,0.02290213480591774,-0.23035500943660736
64,0.02210693433880806,-0.23286394774913788
65,0.02134023606777191,-0.23544153571128845
66,0.020941905677318573,-0.2381957769393921
67,0.020356301218271255,-0.2410086840391159
68,0.019769156351685524,-0.24389714002609253
69,0.019306525588035583,-0.24684959650039673
70,0.0186099074780941,-0.24991652369499207
71,0.01787126436829567,-0.25307852029800415
72,0.0171959288418293,-0.25633493065834045
73,0.016490617766976357,-0.25965967774391174
74,0.015764182433485985,-0.2630639970302582
75,0.015077252872288227,-0.2665426433086395
76,0.014322448521852493,-0.2700878083705902
77,0.013677116483449936,-0.27377790212631226
78,0.01282509882003069,-0.27751436829566956
79,0.011968011036515236,-0.28132516145706177
80,0.01118930708616972,-0.2852369248867035
81,0.01033100951462984,-0.28919950127601624
82,0.00944324117153883,-0.2932621240615845
83,0.008455134928226471,-0.2974269688129425
84,0.007614227011799812,-0.30169302225112915
85,0.006716820877045393,-0.3060928285121918
86,0.005842678714543581,-0.310580849647522
87,0.005021738354116678,-0.3151933550834656
88,0.00424091937020421,-0.319892555475235
89,0.0032430028077214956,-0.32464784383773804
90,0.0022294484078884125,-0.3294803202152252
91,0.001325680990703404,-0.3344546854496002
92,0.0003005415201187134,-0.33951565623283386
93,-0.0007090418366715312,-0.3446704149246216
94,-0.0016506746178492904,-0.3499613404273987
95,-0.0025349652860313654,-0.35537096858024597
96,-0.0034602296072989702,-0.36086130142211914
97,-0.004487141501158476,-0.366449773311615
98,-0.005387149751186371,-0.37217190861701965
99,-0.006386148743331432,-0.37798258662223816
100,-0.007369906175881624,-0.3838772475719452
101,-0.008500147610902786,-0.3898162245750427
102,-0.009723818860948086,-0.3957299292087555
103,-0.010711513459682465,-0.40096116065979004
104,-0.01170613057911396,-0.40627583861351013
105,-0.01274512242525816,-0.41163375973701477
106,-0.013786083087325096,-0.4170791506767273
107,-0.01460470724850893,-0.4226168394088745
108,-0.01568690873682499,-0.4281637668609619
109,-0.01681745983660221,-0.4337318241596222
110,-0.01776709407567978,-0.43939945101737976
111,-0.018817899748682976,-0.4450712203979492
112,-0.019721796736121178,-0.45086267590522766
113,-0.02056003361940384,-0.4566862881183624
114,-0.0208718404173851,-0.46260565519332886
115,-0.02116246335208416,-0.4685019552707672
116,-0.021372118964791298,-0.47452443838119507
117,-0.021728478372097015,-0.48051005601882935
118,-0.022165527567267418,-0.48649507761001587
119,-0.022600868716835976,-0.4924844205379486
120,-0.023038944229483604,-0.4985281825065613
121,-0.02333776094019413,-0.5046283006668091
122,-0.02369515970349312,-0.5107085704803467
123,-0.023827794939279556,-0.5168588161468506
124,-0.02389814890921116,-0.5229912400245667
125,-0.024158798158168793,-0.5290965437889099
126,-0.02413875237107277,-0.5352673530578613
127,-0.02446078509092331,-0.5413642525672913
128,-0.02461894042789936,-0.5474734902381897
129,-0.024646461009979248,-0.5536097288131714
130,-0.02465265616774559,-0.5597527623176575
131,-0.024706624448299408,-0.5658204555511475
132,-0.024523034691810608,-0.5718540549278259
133,-0.02390916831791401,-0.577864944934845
134,-0.02319192700088024,-0.5838122367858887
135,-0.022556517273187637,-0.5897935032844543
136,-0.021999966353178024,-0.5956360697746277
137,-0.021318767219781876,-0.6014776825904846
138,-0.02052762359380722,-0.6072654724121094
139,-0.019872238859534264,-0.6130515336990356
140,-0.019270284101366997,-0.6187883019447327
141,-0.0195537768304348,-0.6249182820320129
142,-0.019909238442778587,-0.6309986710548401
143,-0.020273752510547638,-0.637036144733429
144,-0.020537810400128365,-0.6430372595787048
145,-0.021010033786296844,-0.6489368081092834
146,-0.021278193220496178,-0.6548339128494263
147,-0.021478433161973953,-0.6606841087341309
148,-0.02170250192284584,-0.6664566993713379
149,-0.022019924595952034,-0.6721415519714355
